id;codice;data_emissione;immagine;immagine_content_type;targa;veicolo;carburante
1;parsing Unbranded;2021-02-28T04:14:57;../fake-data/blob/hipster.png;image/png;Kids Funzione payment;AUTOVEICOLO;DIESEL
2;Lecco supply-chains;2021-02-27T21:46:15;../fake-data/blob/hipster.png;image/png;back-end;MOTOVEICOLO;DIESEL
3;Manat;2021-02-28T20:30:50;../fake-data/blob/hipster.png;image/png;Borgo;AUTOVEICOLO;DIESEL
4;Array calculate;2021-02-28T14:32:42;../fake-data/blob/hipster.png;image/png;grey;CICLOMOTORE;BENZINA
5;Account Licensed Argentina;2021-02-28T11:44:34;../fake-data/blob/hipster.png;image/png;Kids;MOTOVEICOLO;DIESEL
6;application Pakistan Awesome;2021-02-28T13:14:18;../fake-data/blob/hipster.png;image/png;auxiliary;AUTOVEICOLO;DIESEL
7;Awesome Intranet;2021-02-28T15:26:25;../fake-data/blob/hipster.png;image/png;Cuneo;AUTOVEICOLO;BENZINA
8;granulari;2021-02-28T13:47:37;../fake-data/blob/hipster.png;image/png;Cheese matrix;MOTOVEICOLO;BENZINA
9;organica District Architect;2021-02-28T12:14:07;../fake-data/blob/hipster.png;image/png;Som;CICLOMOTORE;DIESEL
10;Tactics Isole;2021-02-28T02:16:00;../fake-data/blob/hipster.png;image/png;program;CICLOMOTORE;BENZINA
